n_estimators,max_depth,learning_rate,threshold,F2,Recall,Precision,Balanced_Accuracy
200,5,0.1,0.5,0.0082,0.0066,0.6667,0.5032
200,5,0.1,0.55,0.0246,0.0198,0.75,0.5097
200,5,0.1,0.6,0.0286,0.0231,0.7,0.5112
200,5,0.1,0.65,0.0327,0.0264,0.6154,0.5126
200,5,0.1,0.7,0.0367,0.0297,0.6429,0.5142
200,5,0.1,0.75,0.0568,0.0462,0.6667,0.5222
200,5,0.1,0.8,0.0685,0.0561,0.6071,0.5267
200,5,0.1,0.85,0.0837,0.0693,0.5,0.5321
200,5,0.1,0.9,0.1209,0.1023,0.4429,0.5463
200,7,0.01,0.1,0.0,0.0,0.0,0.5
200,7,0.01,0.15,0.0,0.0,0.0,0.5
200,7,0.01,0.2,0.0,0.0,0.0,0.5
200,7,0.01,0.25,0.0041,0.0033,1.0,0.5017
200,7,0.01,0.3,0.0041,0.0033,1.0,0.5017
200,7,0.01,0.35,0.0041,0.0033,1.0,0.5017
200,7,0.01,0.4,0.0041,0.0033,1.0,0.5017
200,7,0.01,0.45,0.0041,0.0033,1.0,0.5017
200,7,0.01,0.5,0.0041,0.0033,0.5,0.5015
200,7,0.01,0.55,0.0041,0.0033,0.5,0.5015
200,7,0.01,0.6,0.0041,0.0033,0.5,0.5015
200,7,0.01,0.65,0.0041,0.0033,0.5,0.5015
200,7,0.01,0.7,0.0164,0.0132,0.8,0.5065
200,7,0.01,0.75,0.0205,0.0165,0.625,0.5079
200,7,0.01,0.8,0.0407,0.033,0.625,0.5158
200,7,0.01,0.85,0.0487,0.0396,0.5714,0.5187
200,7,0.01,0.9,0.076,0.0627,0.5,0.529
200,7,0.05,0.1,0.0082,0.0066,1.0,0.5033
200,7,0.05,0.15,0.0082,0.0066,1.0,0.5033
200,7,0.05,0.2,0.0123,0.0099,1.0,0.505
200,7,0.05,0.25,0.0123,0.0099,0.75,0.5048
200,7,0.05,0.3,0.0123,0.0099,0.75,0.5048
200,7,0.05,0.35,0.0123,0.0099,0.6,0.5047
200,7,0.05,0.4,0.0164,0.0132,0.6667,0.5064
200,7,0.05,0.45,0.0164,0.0132,0.5714,0.5062
200,7,0.05,0.5,0.0164,0.0132,0.4,0.5059
200,7,0.05,0.55,0.0204,0.0165,0.4545,0.5075
200,7,0.05,0.6,0.0204,0.0165,0.4545,0.5075
200,7,0.05,0.65,0.0326,0.0264,0.5,0.5122
200,7,0.05,0.7,0.0407,0.033,0.5556,0.5155
200,7,0.05,0.75,0.0605,0.0495,0.5556,0.5233
200,7,0.05,0.8,0.0683,0.0561,0.5152,0.5261
200,7,0.05,0.85,0.0949,0.0792,0.4615,0.5362
200,7,0.05,0.9,0.1393,0.1188,0.45,0.554
200,7,0.1,0.1,0.0123,0.0099,1.0,0.505
200,7,0.1,0.15,0.0123,0.0099,0.75,0.5048
200,7,0.1,0.2,0.0205,0.0165,0.7143,0.508
200,7,0.1,0.25,0.0205,0.0165,0.5556,0.5078
200,7,0.1,0.3,0.0205,0.0165,0.5556,0.5078
200,7,0.1,0.35,0.0205,0.0165,0.5,0.5076
200,7,0.1,0.4,0.0204,0.0165,0.4545,0.5075
200,7,0.1,0.45,0.0286,0.0231,0.5385,0.5108
200,7,0.1,0.5,0.0366,0.0297,0.4737,0.5136
200,7,0.1,0.55,0.0405,0.033,0.4167,0.5148
200,7,0.1,0.6,0.0483,0.0396,0.4138,0.5177
200,7,0.1,0.65,0.0643,0.0528,0.4848,0.5243
200,7,0.1,0.7,0.0641,0.0528,0.4444,0.5239
200,7,0.1,0.75,0.0912,0.0759,0.4694,0.5348
200,7,0.1,0.8,0.102,0.0858,0.4127,0.5383
200,7,0.1,0.85,0.1315,0.1122,0.4198,0.5503
200,7,0.1,0.9,0.1754,0.1551,0.3672,0.5676
300,3,0.01,0.1,0.0,0.0,0.0,0.5
300,3,0.01,0.15,0.0,0.0,0.0,0.5
300,3,0.01,0.2,0.0,0.0,0.0,0.5
300,3,0.01,0.25,0.0,0.0,0.0,0.5
300,3,0.01,0.3,0.0,0.0,0.0,0.5
300,3,0.01,0.35,0.0,0.0,0.0,0.5
300,3,0.01,0.4,0.0,0.0,0.0,0.5
300,3,0.01,0.45,0.0,0.0,0.0,0.5
300,3,0.01,0.5,0.0,0.0,0.0,0.5
300,3,0.01,0.55,0.0,0.0,0.0,0.5
300,3,0.01,0.6,0.0,0.0,0.0,0.5
300,3,0.01,0.65,0.0,0.0,0.0,0.5
300,3,0.01,0.7,0.0,0.0,0.0,0.5
300,3,0.01,0.75,0.0,0.0,0.0,0.5
300,3,0.01,0.8,0.0,0.0,0.0,0.5
300,3,0.01,0.85,0.0,0.0,0.0,0.5
300,3,0.01,0.9,0.0,0.0,0.0,0.5
300,3,0.05,0.1,0.0,0.0,0.0,0.5
300,3,0.05,0.15,0.0,0.0,0.0,0.5
300,3,0.05,0.2,0.0,0.0,0.0,0.5
300,3,0.05,0.25,0.0,0.0,0.0,0.5
300,3,0.05,0.3,0.0,0.0,0.0,0.5
300,3,0.05,0.35,0.0,0.0,0.0,0.5
300,3,0.05,0.4,0.0,0.0,0.0,0.5
300,3,0.05,0.45,0.0,0.0,0.0,0.5
300,3,0.05,0.5,0.0,0.0,0.0,0.5
300,3,0.05,0.55,0.0,0.0,0.0,0.5
300,3,0.05,0.6,0.0,0.0,0.0,0.5
300,3,0.05,0.65,0.0,0.0,0.0,0.5
300,3,0.05,0.7,0.0,0.0,0.0,0.5
300,3,0.05,0.75,0.0082,0.0066,1.0,0.5033
300,3,0.05,0.8,0.0164,0.0132,1.0,0.5066
300,3,0.05,0.85,0.0327,0.0264,0.8,0.513
300,3,0.05,0.9,0.0728,0.0594,0.75,0.529
300,3,0.1,0.1,0.0,0.0,0.0,0.5
300,3,0.1,0.15,0.0,0.0,0.0,0.5
300,3,0.1,0.2,0.0,0.0,0.0,0.5
300,3,0.1,0.25,0.0,0.0,0.0,0.5
300,3,0.1,0.3,0.0,0.0,0.0,0.5
300,3,0.1,0.35,0.0,0.0,0.0,0.5
300,3,0.1,0.4,0.0,0.0,0.0,0.5
300,3,0.1,0.45,0.0,0.0,0.0,0.5
300,3,0.1,0.5,0.0041,0.0033,1.0,0.5017
300,3,0.1,0.55,0.0082,0.0066,1.0,0.5033
300,3,0.1,0.6,0.0123,0.0099,1.0,0.505
300,3,0.1,0.65,0.0123,0.0099,1.0,0.505
300,3,0.1,0.7,0.0164,0.0132,1.0,0.5066
300,3,0.1,0.75,0.0205,0.0165,1.0,0.5083
300,3,0.1,0.8,0.0328,0.0264,1.0,0.5132
300,3,0.1,0.85,0.0569,0.0462,0.7778,0.5226
300,3,0.1,0.9,0.0803,0.066,0.6061,0.5314
300,5,0.01,0.1,0.0,0.0,0.0,0.5
300,5,0.01,0.15,0.0,0.0,0.0,0.5
300,5,0.01,0.2,0.0,0.0,0.0,0.5
300,5,0.01,0.25,0.0,0.0,0.0,0.5
300,5,0.01,0.3,0.0,0.0,0.0,0.5
300,5,0.01,0.35,0.0,0.0,0.0,0.5
300,5,0.01,0.4,0.0,0.0,0.0,0.5
300,5,0.01,0.45,0.0,0.0,0.0,0.5
300,5,0.01,0.5,0.0,0.0,0.0,0.5
300,5,0.01,0.55,0.0,0.0,0.0,0.5
300,5,0.01,0.6,0.0,0.0,0.0,0.5
300,5,0.01,0.65,0.0,0.0,0.0,0.5
300,5,0.01,0.7,0.0,0.0,0.0,0.5
300,5,0.01,0.75,0.0,0.0,0.0,0.5
300,5,0.01,0.8,0.0041,0.0033,0.5,0.5015
300,5,0.01,0.85,0.0205,0.0165,0.8333,0.5081
300,5,0.01,0.9,0.0407,0.033,0.5882,0.5156
300,5,0.05,0.1,0.0041,0.0033,1.0,0.5017
300,5,0.05,0.15,0.0041,0.0033,1.0,0.5017
300,5,0.05,0.2,0.0041,0.0033,1.0,0.5017
300,5,0.05,0.25,0.0041,0.0033,1.0,0.5017
300,5,0.05,0.3,0.0082,0.0066,1.0,0.5033
300,5,0.05,0.35,0.0082,0.0066,1.0,0.5033
300,5,0.05,0.4,0.0082,0.0066,1.0,0.5033
300,5,0.05,0.45,0.0082,0.0066,1.0,0.5033
300,5,0.05,0.5,0.0082,0.0066,1.0,0.5033
300,5,0.05,0.55,0.0082,0.0066,0.6667,0.5032
300,5,0.05,0.6,0.0205,0.0165,0.8333,0.5081
300,5,0.05,0.65,0.0287,0.0231,0.875,0.5114
300,5,0.05,0.7,0.0368,0.0297,0.75,0.5145
300,5,0.05,0.75,0.0529,0.0429,0.8125,0.5211
300,5,0.05,0.8,0.0648,0.0528,0.7273,0.5257
300,5,0.05,0.85,0.0686,0.0561,0.6296,0.5268
300,5,0.05,0.9,0.1027,0.0858,0.4815,0.5395
300,5,0.1,0.1,0.0082,0.0066,1.0,0.5033
300,5,0.1,0.15,0.0082,0.0066,1.0,0.5033
300,5,0.1,0.2,0.0082,0.0066,0.6667,0.5032
300,5,0.1,0.25,0.0123,0.0099,0.75,0.5048
300,5,0.1,0.3,0.0123,0.0099,0.75,0.5048
300,5,0.1,0.35,0.0123,0.0099,0.75,0.5048
300,5,0.1,0.4,0.0205,0.0165,0.7143,0.508
300,5,0.1,0.45,0.0205,0.0165,0.5556,0.5078
300,5,0.1,0.5,0.0205,0.0165,0.5556,0.5078
300,5,0.1,0.55,0.0245,0.0198,0.5455,0.5093
300,5,0.1,0.6,0.0245,0.0198,0.5,0.5092
300,5,0.1,0.65,0.0448,0.0363,0.6471,0.5174
300,5,0.1,0.7,0.0608,0.0495,0.6818,0.5239
300,5,0.1,0.75,0.0685,0.0561,0.6071,0.5267
300,5,0.1,0.8,0.0881,0.0726,0.5946,0.5345
300,5,0.1,0.85,0.1105,0.0924,0.5091,0.5429
300,5,0.1,0.9,0.1418,0.1221,0.3978,0.5542
300,7,0.01,0.1,0.0,0.0,0.0,0.5
300,7,0.01,0.15,0.0041,0.0033,1.0,0.5017
300,7,0.01,0.2,0.0041,0.0033,1.0,0.5017
300,7,0.01,0.25,0.0041,0.0033,1.0,0.5017
300,7,0.01,0.3,0.0041,0.0033,1.0,0.5017
300,7,0.01,0.35,0.0041,0.0033,0.5,0.5015
300,7,0.01,0.4,0.0041,0.0033,0.5,0.5015
300,7,0.01,0.45,0.0041,0.0033,0.5,0.5015
300,7,0.01,0.5,0.0082,0.0066,0.6667,0.5032
300,7,0.01,0.55,0.0082,0.0066,0.6667,0.5032
300,7,0.01,0.6,0.0164,0.0132,0.8,0.5065
300,7,0.01,0.65,0.0205,0.0165,0.8333,0.5081
300,7,0.01,0.7,0.0246,0.0198,0.8571,0.5098
300,7,0.01,0.75,0.0286,0.0231,0.5833,0.5109
300,7,0.01,0.8,0.0407,0.033,0.5556,0.5155
300,7,0.01,0.85,0.0566,0.0462,0.5833,0.5219
300,7,0.01,0.9,0.0758,0.0627,0.4634,0.5286
300,7,0.05,0.1,0.0082,0.0066,1.0,0.5033
300,7,0.05,0.15,0.0123,0.0099,1.0,0.505
300,7,0.05,0.2,0.0123,0.0099,1.0,0.505
300,7,0.05,0.25,0.0123,0.0099,0.5,0.5046
300,7,0.05,0.3,0.0164,0.0132,0.5714,0.5062
300,7,0.05,0.35,0.0164,0.0132,0.5,0.5061
300,7,0.05,0.4,0.0164,0.0132,0.5,0.5061
300,7,0.05,0.45,0.0204,0.0165,0.4167,0.5074
300,7,0.05,0.5,0.0285,0.0231,0.5,0.5107
300,7,0.05,0.55,0.0285,0.0231,0.4667,0.5106
300,7,0.05,0.6,0.0406,0.033,0.5,0.5153
300,7,0.05,0.65,0.0526,0.0429,0.5417,0.5201
300,7,0.05,0.7,0.0603,0.0495,0.4839,0.5228
300,7,0.05,0.75,0.0721,0.0594,0.4865,0.5274
300,7,0.05,0.8,0.0912,0.0759,0.4694,0.5348
300,7,0.05,0.85,0.1059,0.0891,0.4286,0.5401
300,7,0.05,0.9,0.1522,0.132,0.3922,0.5584
300,7,0.1,0.1,0.0164,0.0132,1.0,0.5066
300,7,0.1,0.15,0.0205,0.0165,0.5556,0.5078
300,7,0.1,0.2,0.0205,0.0165,0.5556,0.5078
300,7,0.1,0.25,0.0245,0.0198,0.6,0.5094
300,7,0.1,0.3,0.0286,0.0231,0.5385,0.5108
300,7,0.1,0.35,0.0325,0.0264,0.4706,0.5121
300,7,0.1,0.4,0.0325,0.0264,0.4211,0.5118
300,7,0.1,0.45,0.0406,0.033,0.4762,0.5151
300,7,0.1,0.5,0.0445,0.0363,0.44,0.5164
300,7,0.1,0.55,0.0564,0.0462,0.4667,0.5211
300,7,0.1,0.6,0.0681,0.0561,0.4722,0.5257
300,7,0.1,0.65,0.0758,0.0627,0.4634,0.5286
300,7,0.1,0.7,0.0911,0.0759,0.46,0.5346
300,7,0.1,0.75,0.1021,0.0858,0.4262,0.5386
300,7,0.1,0.8,0.1278,0.1089,0.4177,0.5488
300,7,0.1,0.85,0.1555,0.1353,0.3868,0.5596
300,7,0.1,0.9,0.1871,0.1683,0.3377,0.5718
